,name,actor_id,gender,character,actor_popularity,movie_id
345,Josh Brolin,16851.0,2.0,Thanos,10.728,299534
346,Chris Pratt,73457.0,2.0,Peter Quill / Star-Lord,19.635,299534
347,Samuel L. Jackson,2231.0,2.0,Nick Fury,22.912,299534
348,Hailee Steinfeld,130640.0,1.0,Gwen Stacy / Spider-Woman (voice),18.945,324857
349,Nicolas Cage,2963.0,2.0,Peter Parker / Spider-Man Noir (voice),14.831,324857
350,Liev Schreiber,23626.0,2.0,Wilson Fisk / Kingpin (voice),10.612,324857
351,Oscar Isaac,25072.0,2.0,Interesting Person #1 (voice),19.42,324857
352,Jean-Claude Van Damme,15111.0,2.0,Richard Brumére,11.511,729720
353,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,12445
354,Emma Watson,10990.0,1.0,Hermione Granger,23.219,12445
355,Ralph Fiennes,5469.0,2.0,Lord Voldemort,11.938,12445
356,Helena Bonham Carter,1283.0,1.0,Bellatrix Lestrange,10.619,12445
357,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,12445
358,Ciarán Hinds,8785.0,2.0,Aberforth Dumbledore,13.195,12445
359,Domhnall Gleeson,93210.0,2.0,Bill Weasley,12.739,12445
360,Emma Thompson,7056.0,1.0,Sybill Trelawney,11.817,12445
361,Gary Oldman,64.0,2.0,Sirius Black,13.152,12445
362,Chloë Grace Moretz,56734.0,1.0,Kayla Forrester,31.779,587807
363,Frank Welker,15831.0,2.0,Tom / Jerry (voice) (uncredited),10.655,587807
364,Nina Dobrev,19961.0,1.0,Josie,11.286,193893
365,Andy García,1271.0,2.0,Brolin,10.762,193893
366,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,12444
367,Emma Watson,10990.0,1.0,Hermione Granger,23.219,12444
368,Ralph Fiennes,5469.0,2.0,Lord Voldemort,11.938,12444
369,Helena Bonham Carter,1283.0,1.0,Bellatrix Lestrange,10.619,12444
370,Domhnall Gleeson,93210.0,2.0,Bill Weasley,12.739,12444
371,Tom Felton,10993.0,2.0,Draco Malfoy,11.973,12444
372,Rhys Ifans,7026.0,2.0,Xenophilius Lovegood,11.232,12444
373,Jamie Foxx,134.0,2.0,Joe Gardner (voice),12.673,508442
374,Alice Braga,8602.0,1.0,Counselor Jerry (voice),11.481,508442
375,Emily Blunt,5081.0,1.0,Evelyn Abbott,17.256,520763
376,Cillian Murphy,2037.0,2.0,Emmett,20.367,520763
377,Daniel Radcliffe,10980.0,2.0,Harry Potter,13.689,767
378,Emma Watson,10990.0,1.0,Hermione Granger,23.219,767
