movie_id,title,release_date,movie_popularity,vote_average,vote_count,budget,revenue,rating,studios,genres
10307,Stigmata,1999-09-10,20.392,6.2,787,29000000,50041732,R,"['Other', ' Metro-Goldwyn-Mayer']","['Horror', 'Thriller']"
9539,Martyrs,2008-09-03,20.39,7.3,1864,6500000,1100000,R,"['Wild Bunch', ' Other', ' Other', ' Other', ' Other', ' Canal+']","['Horror', 'Drama', 'Thriller']"
4638,Hot Fuzz,2007-02-14,20.383,7.5,5874,12000000,80573774,R,"['Universal Pictures', ' Big Talk Productions', ' StudioCanal', ' Working Title Films']","['Crime', 'Action', 'Comedy']"
333667,Rock Dog,2016-07-08,20.379,6.1,217,60000000,9420546,PG,"['Other', ' Other', ' Other', ' Other', ' Other']","['Adventure', 'Animation', 'Comedy', 'Family', 'Music']"
316023,Mike and Dave Need Wedding Dates,2016-07-07,20.355,6.1,2100,33000000,77068246,R,"['Chernin Entertainment', ' TSG Entertainment', ' 20th Century Fox']",['Comedy']
13056,Punisher: War Zone,2008-12-05,20.355,5.8,810,20500000,10089373,R,"['Lionsgate', ' Other', ' Other', ' Valhalla Motion Pictures', ' Other', ' Other']","['Action', 'Crime']"
195590,Collide,2016-06-10,20.332,5.6,469,21500000,6817535,PG-13,"['Silver Pictures', ' Other', ' Automatik Entertainment', ' DMG Entertainment', ' Other']","['Thriller', 'Action']"
1643,Last Tango in Paris,1972-10-14,20.328,7.1,912,1250000,36144000,NC-17,"['United Artists', ' Other', ' Other']","['Drama', 'Romance']"
554241,Playing with Fire,2019-11-08,20.324,6.9,500,29900000,44400000,PG,"['Broken Road Productions', ' Nickelodeon Movies', ' Other', ' Walden Media']","['Comedy', 'Family']"
174751,Jane Got a Gun,2015-12-31,20.315,5.8,647,25000000,1397284,R,"['Other', ' Other', ' Other', ' Other', ' Other']","['Western', 'Action', 'Drama']"
382614,The Book of Henry,2017-06-16,20.313,7.5,1083,10000000,4596705,PG-13,"['Other', ' Other']","['Drama', 'Crime', 'Thriller']"
708,The Living Daylights,1987-06-29,20.298,6.5,1239,40000000,191185897,PG,"['United Artists', ' Eon Productions', ' Danjaq']","['Action', 'Adventure', 'Thriller']"
548473,Color Out of Space,2019-09-07,20.289,6.0,866,6000000,1023510,R,"['Other', ' Other', ' Other', ' XYZ Films']","['Horror', 'Mystery', 'Science Fiction', 'Thriller']"
76025,Shame,2011-10-02,20.281,7.0,2480,6500000,3909002,NC-17,"['Other', ' Other', ' Other', ' Alliance Films', ' Film4 Productions', ' Other']",['Drama']
525661,Bombshell,2019-12-13,20.276,6.9,2227,32000000,61404394,R,"['Other', ' Other', ' Bron Studios', ' Annapurna Pictures', ' Creative Wealth Media Finance', ' Lionsgate', ' Other']","['Drama', 'History']"
340945,USS Indianapolis: Men of Courage,2016-09-22,20.274,5.9,482,40000000,2158568,R,"['Other', ' Saturn Films', ' Other', ' Other', ' Other', ' Other']","['Action', 'War']"
1247,The Good Shepherd,2006-12-11,20.27,6.4,840,85000000,100266865,R,"['Morgan Creek Productions', ' Universal Pictures', ' American Zoetrope']","['Drama', 'Thriller', 'History']"
146239,Delivery Man,2013-10-10,20.266,6.2,1180,26000000,51164106,PG-13,"['Touchstone Pictures', ' DreamWorks Pictures']",['Comedy']
13223,Gran Torino,2008-12-09,20.234,8.0,8579,33000000,269958228,R,"['Other', ' Other', ' Other', ' Malpaso Productions', ' Village Roadshow Pictures', ' Other', ' Warner Bros. Pictures']",['Drama']
473149,Traffik,2018-04-20,20.21,6.2,368,4000000,5132274,R,"['Other', ' Lionsgate']","['Horror', 'Thriller']"
582,The Lives of Others,2006-03-15,20.188,8.1,2716,2000000,70000000,R,"['Other', ' Other', ' Other', ' Other']","['Drama', 'Thriller']"
290512,The Mountain Between Us,2017-10-05,20.187,6.6,1834,35000000,62832209,PG-13,"['Chernin Entertainment', ' 20th Century Fox']","['Romance', 'Adventure', 'Drama']"
88,Dirty Dancing,1987-08-21,20.186,7.4,4882,6000000,213893795,PG-13,"['Other', ' Other']","['Drama', 'Music', 'Romance']"
25,Jarhead,2005-11-04,20.175,6.6,2143,72000000,97076152,R,"['Red Wagon Entertainment', ' Other', ' Other']","['Drama', 'War']"
14191,Aquamarine,2006-03-03,20.162,6.3,1205,12000000,23006849,PG,"['Fox 2000 Pictures', ' Other']","['Fantasy', 'Romance', 'Family', 'Comedy']"
19824,Van Wilder: Freshman Year,2009-06-02,20.133,5.4,257,6000000,20543,R,"['Tapestry Films', ' Other']",['Comedy']
396371,Molly's Game,2017-01-01,20.132,7.1,2948,30000000,59284015,R,"['The Mark Gordon Company', ' Entertainment One', ' STX Entertainment', ' Pascal Pictures', ' Huayi Brothers Pictures']","['Crime', 'Drama']"
616,The Last Samurai,2003-01-09,20.118,7.5,5281,140000000,456758981,R,"['Warner Bros. Pictures', ' Bedford Falls Productions', ' Other', ' Radar Pictures']","['Drama', 'Action', 'War', 'History']"
9766,Gridiron Gang,2006-09-15,20.098,7.0,722,30000000,41480851,PG-13,"['Columbia Pictures', ' Original Film', ' Other', ' Other', ' Relativity Media']","['Drama', 'Action', 'Crime']"
539,Psycho,1960-06-22,20.096,8.4,7774,806947,32000000,R,['Other'],"['Horror', 'Drama', 'Thriller']"
2024,The Patriot,2000-06-28,20.087,7.1,2971,110000000,215294342,R,"['Centropolis Entertainment', ' Other', ' Other', ' Columbia Pictures', ' Sony Pictures']","['Drama', 'History', 'War', 'Action']"
430040,The Hurricane Heist,2018-02-28,20.083,5.7,803,35000000,32517248,PG-13,"['Other', ' Foresight Unlimited', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other', ' Other']","['Action', 'Crime', 'Thriller']"
9906,The Ant Bully,2006-07-28,20.064,5.7,1065,50000000,55181129,PG,"['Other', ' Playtone', ' Legendary Pictures', ' Warner Bros. Pictures']","['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']"
57212,War Horse,2011-12-25,20.055,7.3,2713,66000000,177584879,PG-13,"['Touchstone Pictures', ' Amblin Entertainment', ' Reliance Entertainment', ' DreamWorks Pictures', ' The Kennedy/Marshall Company']","['War', 'Drama', 'Action']"
445954,Acts of Vengeance,2017-10-27,20.038,5.9,417,10000000,320705,R,['Other'],"['Thriller', 'Action', 'Drama']"
376660,The Edge of Seventeen,2016-11-18,20.031,7.2,3336,9000000,18803648,R,"['Other', ' Other', ' STX Entertainment', ' Huayi Brothers Pictures']","['Comedy', 'Drama']"
947,Lawrence of Arabia,1962-12-11,20.024,8.0,2186,15000000,69995385,PG,['Other'],"['War', 'History', 'Adventure', 'Drama']"
